n1	n2	n3	n4	n5	year	codificado	devengado	count
12	21	10	16	106	2020	257285884	0	1
12	20	10	14	108	2019	74690323.28	42293035.5	1
12	21	10	14	108	2019	93284793.82	6196	1
12	20	10	14	108	2020	31131410.37	10579392.83	1
12	21	10	14	108	2020	94601830.04	0	1
12	20	10	14	108	2021	12943526.8	4614662.22	1
12	21	10	14	108	2021	47683882.9	310643.2	1
12	20	10	18	108	2019	22312549.76	775319.96	2
12	20	10	18	108	2020	33717160.08	52378.42	2
12	20	10	18	108	2021	41377857.86	1671100.58	2
12	20	10	16	108	2019	477120	238560	2
12	21	10	16	108	2019	1425000.02	0	1
12	19	10	16	109	2017	1122590.47	479161.08	1
12	21	10	16	109	2019	17439108.22	139409.22	2
12	21	10	16	109	2021	0	0	2
12	20	10	16	111	2017	1044371.66	218451.18	4
12	21	10	16	111	2017	5740856.53	2507189.58	2
12	20	10	16	111	2018	4962325.58	893922.22	4
12	21	10	16	111	2018	10768357.91	3071043.71	3
12	18	10	16	111	2019	0	0	1
12	20	10	16	111	2019	162177.03	115822.35	6
12	21	10	16	111	2019	1062509.68	292423.75	6
12	20	10	11	112	2020	0	0	1
12	20	10	12	112	2020	46394187.51	0	1
12	20	10	14	112	2019	659093654.8	81408517.51	6
12	20	10	14	112	2020	672378162.8	152394580.4	8
12	20	10	18	112	2019	16241769.9	0	2
12	20	10	18	112	2020	17335693.2	0	2
12	18	10	16	112	2017	5158018610	1689708436	22
12	20	10	16	112	2017	3490903908	1381695832	21
12	21	10	16	112	2017	115645394.7	24277130.32	4
12	18	10	16	112	2018	5378794931	241377932.3	18
12	20	10	16	112	2018	4537399776	1114280433	16
12	21	10	16	112	2018	19087439.64	1357560.7	2
12	18	10	16	112	2019	569174989.2	56530780.76	14
12	20	10	16	112	2019	394053093.7	41833101.89	14
12	21	10	16	112	2019	6816352.2	699653.25	1
12	18	10	16	112	2020	0	0	8
12	20	10	16	112	2020	0	0	7
12	20	10	11	112	2021	3000000	644010	1
12	20	10	14	112	2021	2387999387	1142461956	9
12	20	10	18	112	2021	7223205.5	0	2
12	18	10	16	112	2021	2494800	2346000	8
12	20	10	16	112	2021	10812400	7704400	9
12	20	10	19	113	2020	3700937	0	2
12	20	10	19	113	2021	41597997.02	20522355.9	2
12	20	10	14	114	2020	0	0	1
12	21	10	14	114	2020	0	0	2
12	18	10	16	114	2017	254849567.4	4197390	3
12	20	10	16	114	2017	190450501.6	50767891.79	22
12	21	10	16	114	2017	87085681.13	30284656.9	7
12	18	10	16	114	2018	95240050.11	20881951.94	4
12	20	10	16	114	2018	303446712.8	121399788.5	13
12	21	10	16	114	2018	141426062.7	18488042.32	5
12	18	10	16	114	2019	2276446.32	964900.5	1
12	20	10	16	114	2019	17623105.87	6383237.63	16
12	21	10	16	114	2019	44481.8	37249.66	1
12	18	10	16	114	2020	0	0	1
12	20	10	16	114	2020	0	0	3
12	21	10	16	114	2020	0	0	2
12	20	10	14	114	2021	0	0	1
12	20	10	11	115	2017	4768929.4	1199555.58	1
12	20	10	11	115	2018	6000000	1871265.1	1
12	20	10	11	115	2019	5760941.04	1917945.14	1
12	20	10	11	115	2020	2432382.41	797587.05	1
12	20	10	11	115	2021	153071.16	0	1
12	20	10	16	115	2017	43624937.98	13104277.22	4
12	21	10	16	115	2017	10881916.08	3666373.08	6
12	20	10	16	115	2018	46806081.26	10748555.98	4
12	21	10	16	115	2018	75571070.31	7667843.85	6
12	20	10	16	115	2019	1526320.48	615642.24	2
12	21	10	16	115	2019	4772190.54	987179.79	6
12	20	10	11	115	2021	7266986.16	443814.36	2
12	21	10	14	115	2021	6525762.74	2887853.86	2
12	20	10	11	115	2020	4239075.26	164793.1	2
12	21	10	14	115	2020	3105684.24	1136967.36	2
12	18	10	16	115	2020	0	0	1
12	20	10	16	115	2020	0	0	3
12	21	10	16	117	2017	35846.39	26884.77	1
12	20	10	16	117	2018	11988000	994000	2
12	19	10	16	118	2017	5690436.6	3304348.48	2
12	19	10	16	118	2018	38770593.42	7763240.72	2
12	19	10	16	118	2019	964850.22	662266.14	2
12	21	10	16	133	2017	0	0	1
12	20	10	14	137	2019	173180.12	118659.42	1
12	19	10	16	137	2017	167	167	1
12	20	10	16	137	2017	15532307.16	8200996.14	13
12	20	10	16	137	2018	834994.88	370913.48	4
12	20	10	16	137	2019	62525.1	46892.52	2
12	18	10	16	138	2017	3928574.8	1603684.86	1
12	20	10	16	138	2017	30008409.08	3319893.18	9
12	20	10	16	138	2018	25109910.39	1790375.05	12
12	20	10	16	138	2019	462861.02	215382.16	5
12	19	10	19	142	2018	62590.8	0	1
12	21	10	19	142	2018	23188.44	3222.55	1
12	19	10	19	142	2019	3513241.55	0	2
12	20	10	19	142	2019	6714711.37	0	2
12	21	10	19	142	2019	37747311.94	8471609.06	2
12	19	10	19	142	2020	23234.35	0	1
12	21	10	19	142	2020	131706055.4	1253402.72	2
12	19	10	19	142	2021	9120097	887860.99	2
12	21	10	19	142	2021	88546783.4	12390640.4	2
12	20	10	14	143	2019	7813.94	0	1
12	21	10	16	145	2017	0	0	1
12	21	10	16	148	2017	2018008.28	385674.52	2
12	21	10	16	148	2018	1714724.36	121290.18	2
12	19	10	14	151	2021	419255.95	134267.72	1
12	20	10	16	154	2017	206862540.4	49160783.72	5
12	21	10	16	154	2017	117941355.2	18260425.49	7
12	20	10	16	154	2018	13976774.77	9799775.69	2
12	21	10	16	154	2018	25724660.68	10508220.1	2
12	20	10	14	155	2019	1088338.75	221789.02	1
